dates,Norway,Algeria,Russia,Azerbaijan,Libya,UK net flows,LNG,EU total,Nord Stream,Ukraine Gas Transit,"Yamal (BY,PL)",Turkstream,
01/01/2021,214.2,110.5,432.2,11.4,8.5,-64,127.2,904,170.1,112.3,109.8,21.1,
02/01/2021,216.7,102.4,430.5,11.4,8.5,-68,143.2,912.7,170.6,111.4,109.8,23.9,
03/01/2021,217.2,82.9,436.5,13.1,8.5,-66,145.7,903.9,170.5,114.1,109.8,25.6,
04/01/2021,209.5,68,434,13.1,9,-66,161.8,895.5,170.5,113.4,109.8,21.1,
05/01/2021,208.6,66.6,437.2,14.8,8.5,-72,161.4,897,171.3,113.4,109.8,22.3,
06/01/2021,207.3,64.5,435.1,15.7,7.4,-72,155.7,885.7,170.5,112.7,109.8,23.5,
07/01/2021,198,74.8,438.7,15.8,8.5,-50,166.8,902.7,170.4,112,110,24.7,
08/01/2021,207.2,99.7,440.2,15.7,8.5,-50,158.9,930.2,170.6,110.6,110,24.8,
09/01/2021,209.4,120.4,439.1,15.6,8.5,-72,121.4,914.4,169.5,111,109.9,24.7,
10/01/2021,211.7,121.7,435.7,15.7,9.6,-75,104.8,899.2,169.2,110,109.7,23.2,
11/01/2021,206,119.2,440.4,15.6,13.3,-64,138.8,933.3,171.1,109.6,109.6,27.4,
12/01/2021,210.8,99.2,442.8,15.7,13.8,-73,156.8,939,170.2,110.4,109.8,28.8,
13/01/2021,212.8,89.2,445.8,15.7,12.2,-85,161,936.6,169.9,109.1,109.8,29.8,
14/01/2021,214.4,88.6,450.4,15.7,10.6,-85,147.6,927.2,170.9,107.8,110.1,30.2,
15/01/2021,198.8,100.6,459.5,15.7,9,-85,151.8,935.4,170.5,108.7,114.5,33.5,
16/01/2021,198.7,109.3,458.5,15.7,5.8,-80,120.9,908.9,170.4,108.2,114.4,35.9,
17/01/2021,210.6,108.3,459.3,15.7,9,-71,113.1,916,170.4,108.6,114.9,36.8,
18/01/2021,212.9,102.6,458.3,15.7,9.5,-71,146.4,945.3,170.3,107,114.9,38.3,
19/01/2021,213.1,98.2,455.8,15.7,7.9,-60,135.4,926.2,170.3,106.4,114.8,37.6,
20/01/2021,220,99.1,450.7,15.7,7.9,-46,122.6,916.1,171,106.7,114.7,35.8,
21/01/2021,213.1,91.2,451.2,15.7,7.9,-60,119,898.2,170.2,106,114.6,35.3,
22/01/2021,215.1,87.5,446.7,15.7,9,-66,99.3,873.3,170.2,105.3,114.6,31.6,
23/01/2021,213.1,100.3,439,15.8,7.9,-65,78.1,854.2,171,104.2,114.5,29.4,
24/01/2021,174.8,105.6,439.1,15.7,7.9,-65,79,822.1,170.4,105.6,114.5,27.6,
25/01/2021,198.2,106.7,446.4,15.8,11.6,-65,100.7,879.5,170.2,107.3,114.8,30,
26/01/2021,208.3,114.5,451.8,15.9,11.6,-66,111,913.1,170.5,109.8,114.9,31.5,
27/01/2021,209.9,117.2,455.3,15.6,8.5,-63,122.3,928.7,171,111.9,114.9,32.2,
28/01/2021,213.2,117.9,453.4,15.6,8.5,-38,107.8,916.5,170.5,108.2,114.9,32.2,
29/01/2021,216.7,119.8,452.7,15.6,8.5,-54,97.1,910.4,170.8,107.2,114.9,31.6,
30/01/2021,217.4,118.3,448.5,15.4,8.5,-64,84.3,892.4,170.9,107.5,114.9,30.1,
31/01/2021,217.3,117.7,447.9,15.3,8.5,-60,88.7,895.4,170.7,108.6,114.5,29.4,
01/02/2021,211.8,117.8,449.3,15.7,9.1,-39,118.3,921.9,170.5,112.5,110,31.9,
02/02/2021,211.1,117.7,449.9,14.4,11.8,-23,119.5,924.4,169.9,111.4,110.3,31.8,
03/02/2021,211.7,117.8,452.8,15.8,11.7,-21,114.7,924.5,170.2,114.1,114.9,31.6,
04/02/2021,220.8,117.8,457.9,15.9,11.2,-19,118.5,942.1,171.6,117.8,114.9,28.7,
05/02/2021,225.8,117.6,458.7,15.9,12.2,-20,127,957.2,173.3,115.9,114.9,28.6,
06/02/2021,225.9,116.7,459.7,13.2,10.1,-17,118.8,944.3,172.4,118.1,115,27.2,
07/02/2021,229.7,117.3,453.9,15,9.6,-23,111.6,936.9,171,118.1,115.1,25.9,
08/02/2021,220.6,117.6,451,15.8,11.2,-35,139.4,955.5,170.5,119,115.2,26.6,
09/02/2021,207.3,116.8,451,15.8,12.8,-47,153.1,956.9,170.9,117.7,115.7,26.8,
10/02/2021,210.8,118.3,452.7,15.8,12.8,-39,171.1,981.5,170.2,113.4,115.5,28.7,
11/02/2021,225.8,118.1,462.7,15.9,11.2,-19,191.1,1024.7,170.5,121,115.5,30.7,
12/02/2021,240.6,117.8,461.3,15.9,11.2,-22,204.3,1051.1,170.6,118.5,115.2,33.2,
