Date,Russia,LNG,move_russia,move_eu,outcome,score_ru,score_eu,cum_ru,cum_eu,gdp_eu_30d,gdp_ru_30d,inf_eu_30d,inf_eu_7d,inf_ru_30d,coop_30d,dd_30d
2021-01-01,432.2,127.2,C,C,Cooperación Mutua,3.0,3.0,3.0,3.0,0.324,1.562,1.21,,5.049,100.0,0.0
2021-01-02,449.3,118.3,C,C,Cooperación Mutua,3.0,3.0,6.0,6.0,0.42200000000000004,1.6525,1.2145000000000001,0.006363961030678933,5.0535,100.0,0.0
2021-01-03,427.6,230.9,C,C,Cooperación Mutua,3.0,3.0,9.0,9.0,0.436,1.6310000000000002,1.219,0.008999999999999925,5.058,100.0,0.0
2021-01-04,448.1,287.6,C,C,Cooperación Mutua,3.0,3.0,12.0,12.0,0.5245,1.64575,1.2235,0.011618950038622232,5.0625,100.0,0.0
2021-01-05,446.0,227.2,C,C,Cooperación Mutua,3.0,3.0,15.0,15.0,0.6073999999999999,1.6506,1.2280000000000002,0.014230249470757694,5.067,100.0,0.0
2021-01-06,459.5,254.6,C,C,Cooperación Mutua,3.0,3.0,18.0,18.0,0.7011666666666666,1.6795,1.2326666666666666,0.017107503227141798,5.0715,100.0,0.0
2021-01-07,442.5,175.0,C,C,Cooperación Mutua,3.0,3.0,21.0,21.0,0.7817142857142857,1.7074285714285715,1.2372857142857143,0.019830231850336395,5.076,100.0,0.0
2021-01-08,415.9,146.3,C,C,Cooperación Mutua,3.0,3.0,24.0,24.0,0.866125,1.711375,1.241875,0.019906926289252162,5.0805,100.0,0.0
2021-01-09,380.7,186.1,C,C,Cooperación Mutua,3.0,3.0,27.0,27.0,0.9487777777777777,1.716222222222222,1.2464444444444445,0.019906926289252298,5.085,100.0,0.0
2021-01-10,343.8,176.4,D,C,Rusia defecta — precio alto,5.0,0.0,32.0,27.0,1.0349,1.7297,1.251,0.01983023185033675,5.0895,90.0,0.0
2021-01-11,280.0,191.1,D,C,Rusia defecta — precio alto,5.0,0.0,37.0,27.0,1.1121818181818182,1.7382727272727272,1.2555454545454545,0.019675946156230414,5.094,81.81818181818183,0.0
2021-01-12,396.7,245.7,C,C,Cooperación Mutua,3.0,3.0,40.0,30.0,1.1993333333333334,1.7509166666666667,1.2600833333333334,0.01944222209522428,5.0985000000000005,83.33333333333334,0.0
2021-02-01,430.5,143.2,C,C,Cooperación Mutua,3.0,3.0,43.0,33.0,1.2752307692307692,1.7621538461538462,1.2646153846153847,0.01944222209522445,5.103,84.61538461538461,0.0
2021-02-02,449.9,119.5,C,C,Cooperación Mutua,3.0,3.0,46.0,36.0,1.3572142857142857,1.7775,1.2691428571428571,0.01944222209522464,5.1075,85.71428571428571,0.0
2021-02-03,440.1,249.4,C,C,Cooperación Mutua,3.0,3.0,49.0,39.0,1.4382666666666666,1.7927333333333333,1.2737333333333334,0.019675946156231104,5.112066666666666,86.66666666666667,0.0
2021-02-04,447.5,286.6,C,C,Cooperación Mutua,3.0,3.0,52.0,42.0,1.5278125,1.8033125,1.2783125,0.019830231850337762,5.116625,87.5,0.0
2021-02-05,447.3,227.6,C,C,Cooperación Mutua,3.0,3.0,55.0,45.0,1.603764705882353,1.8121176470588236,1.2828823529411766,0.019906926289253637,5.121176470588235,88.23529411764706,0.0
2021-02-06,451.1,252.0,C,C,Cooperación Mutua,3.0,3.0,58.0,48.0,1.6851666666666665,1.8298888888888891,1.2874444444444444,0.01990692628925383,5.1257222222222225,88.88888888888889,0.0
2021-02-07,441.0,178.3,C,C,Cooperación Mutua,3.0,3.0,61.0,51.0,1.7633684210526315,1.8387368421052632,1.292,0.0198302318503384,5.130263157894737,89.47368421052632,0.0
