Date,GDP_EU,GDP_RU,INFL_EU,INFL_RU
2021-01-01,0.3,1.645,1.21,5.049
2021-01-02,0.46,1.668,1.219,5.058
2021-01-03,0.62,1.692,1.228,5.067
2021-01-04,0.78,1.715,1.237,5.076
2021-01-05,0.94,1.738,1.246,5.085
2021-01-06,1.1,1.762,1.256,5.094
2021-01-07,1.26,1.785,1.265,5.103
2021-01-08,1.42,1.808,1.274,5.112
2021-01-09,1.58,1.832,1.283,5.121
2021-01-10,1.74,1.855,1.292,5.13
2021-01-11,1.9,1.878,1.301,5.139
2021-01-12,2.06,1.902,1.31,5.148
2021-01-13,2.22,1.925,1.319,5.157
2021-01-14,2.38,1.948,1.328,5.166
2021-01-15,2.54,1.972,1.338,5.176
2021-01-16,2.7,1.995,1.347,5.185
2021-01-17,2.86,2.018,1.356,5.194
2021-01-18,3.02,2.042,1.365,5.203
2021-01-19,3.18,2.065,1.374,5.212
2021-01-20,3.34,2.089,1.383,5.221
2021-01-21,3.5,2.112,1.392,5.23
2021-01-22,3.66,2.135,1.401,5.239
2021-01-23,3.82,2.159,1.41,5.248
2021-01-24,3.98,2.182,1.42,5.257
2021-01-25,4.14,2.205,1.429,5.266
2021-01-26,4.3,2.229,1.438,5.275
2021-01-27,4.46,2.252,1.447,5.284
2021-01-28,4.62,2.275,1.456,5.293
2021-01-29,4.78,2.299,1.465,5.303
2021-01-30,4.94,2.322,1.474,5.312
2021-01-31,5.1,2.345,1.483,5.321
2021-02-01,5.26,2.369,1.492,5.33
2021-02-02,5.42,2.392,1.502,5.339
2021-02-03,5.58,2.415,1.511,5.348
2021-02-04,5.74,2.439,1.52,5.357
2021-02-05,5.9,2.462,1.529,5.366
2021-02-06,6.06,2.485,1.538,5.375
2021-02-07,6.22,2.509,1.547,5.384
2021-02-08,6.38,2.532,1.556,5.393
2021-02-09,6.54,2.555,1.565,5.402
2021-02-10,6.7,2.579,1.574,5.411
2021-02-11,6.86,2.602,1.584,5.42
2021-02-12,7.02,2.625,1.593,5.429
2021-02-13,7.18,2.649,1.602,5.439
2021-02-14,7.34,2.672,1.611,5.448
2021-02-15,7.5,2.695,1.62,5.457
2021-02-16,7.66,2.719,1.629,5.466
2021-02-17,7.82,2.742,1.638,5.475
2021-02-18,7.98,2.765,1.647,5.484
2021-02-19,8.14,2.789,1.656,5.493
2021-02-20,8.3,2.812,1.666,5.502
2021-02-21,8.46,2.835,1.675,5.511
2021-02-22,8.62,2.859,1.684,5.52
2021-02-23,8.78,2.882,1.693,5.529
2021-02-24,8.94,2.906,1.702,5.538
2021-02-25,9.1,2.929,1.711,5.547
2021-02-26,9.26,2.952,1.72,5.556
2021-02-27,9.42,2.976,1.729,5.566
2021-02-28,9.58,2.999,1.738,5.575
2021-03-01,9.74,3.022,1.748,5.584
2021-03-02,9.9,3.046,1.757,5.593
2021-03-03,10.06,3.069,1.766,5.602
2021-03-04,10.22,3.092,1.775,5.611
2021-03-05,10.38,3.116,1.784,5.62
2021-03-06,10.54,3.139,1.793,5.629
2021-03-07,10.7,3.162,1.802,5.638
2021-03-08,10.86,3.186,1.811,5.647
2021-03-09,11.02,3.209,1.82,5.656
2021-03-10,11.18,3.232,1.83,5.665
2021-03-11,11.34,3.256,1.839,5.674
2021-03-12,11.5,3.279,1.848,5.683
2021-03-13,11.66,3.302,1.857,5.692
2021-03-14,11.82,3.326,1.866,5.702
2021-03-15,11.98,3.349,1.875,5.711
2021-03-16,12.14,3.372,1.884,5.72
2021-03-17,12.3,3.396,1.893,5.729
2021-03-18,12.46,3.419,1.902,5.738
2021-03-19,12.62,3.442,1.912,5.747
2021-03-20,12.78,3.466,1.921,5.756
2021-03-21,12.94,3.489,1.93,5.765
2021-03-22,13.1,3.512,1.939,5.774
2021-03-23,13.26,3.536,1.948,5.783
2021-03-24,13.42,3.559,1.957,5.792
2021-03-25,13.58,3.582,1.966,5.801
2021-03-26,13.74,3.606,1.975,5.81
2021-03-27,13.9,3.629,1.984,5.819
2021-03-28,14.06,3.652,1.994,5.828
2021-03-29,14.22,3.676,2.003,5.838
2021-03-30,14.38,3.699,2.012,5.847
2021-03-31,14.54,3.722,2.021,5.856
2021-04-01,14.7,3.746,2.03,5.865
2021-04-02,14.597,3.769,2.035,5.874
2021-04-03,14.493,3.793,2.04,5.883
2021-04-04,14.39,3.816,2.045,5.892
2021-04-05,14.287,3.839,2.049,5.901
2021-04-06,14.184,3.863,2.054,5.91
2021-04-07,14.08,3.886,2.059,5.919
2021-04-08,13.977,3.909,2.064,5.928
2021-04-09,13.874,3.933,2.069,5.937
2021-04-10,13.77,3.956,2.074,5.946
2021-04-11,13.667,3.979,2.078,5.955
2021-04-12,13.564,4.003,2.083,5.965
2021-04-13,13.46,4.026,2.088,5.974
2021-04-14,13.357,4.049,2.093,5.983
2021-04-15,13.254,4.073,2.098,5.992
2021-04-16,13.151,4.096,2.103,6.001
2021-04-17,13.047,4.119,2.107,6.01
2021-04-18,12.944,4.143,2.112,6.019
2021-04-19,12.841,4.166,2.117,6.028
2021-04-20,12.737,4.189,2.122,6.037
2021-04-21,12.634,4.213,2.127,6.046
2021-04-22,12.531,4.236,2.132,6.055
2021-04-23,12.427,4.259,2.136,6.064
2021-04-24,12.324,4.283,2.141,6.073
2021-04-25,12.221,4.306,2.146,6.082
2021-04-26,12.118,4.329,2.151,6.091
2021-04-27,12.014,4.353,2.156,6.101
2021-04-28,11.911,4.376,2.161,6.11
2021-04-29,11.808,4.399,2.165,6.119
2021-04-30,11.704,4.423,2.17,6.128
2021-05-01,11.601,4.446,2.175,6.137
2021-05-02,11.498,4.469,2.18,6.146
2021-05-03,11.395,4.493,2.185,6.155
2021-05-04,11.291,4.516,2.19,6.164
2021-05-05,11.188,4.539,2.194,6.173
2021-05-06,11.085,4.563,2.199,6.182
2021-05-07,10.981,4.586,2.204,6.191
2021-05-08,10.878,4.61,2.209,6.2
2021-05-09,10.775,4.633,2.214,6.209
2021-05-10,10.671,4.656,2.219,6.218
2021-05-11,10.568,4.68,2.223,6.228
2021-05-12,10.465,4.703,2.228,6.237
2021-05-13,10.362,4.726,2.233,6.246
2021-05-14,10.258,4.75,2.238,6.255
2021-05-15,10.155,4.773,2.243,6.264
2021-05-16,10.052,4.796,2.248,6.273
2021-05-17,9.948,4.82,2.252,6.282
2021-05-18,9.845,4.843,2.257,6.291
2021-05-19,9.742,4.866,2.262,6.3
2021-05-20,9.638,4.89,2.267,6.309
2021-05-21,9.535,4.913,2.272,6.318
2021-05-22,9.432,4.936,2.277,6.327
2021-05-23,9.329,4.96,2.281,6.336
2021-05-24,9.225,4.983,2.286,6.345
2021-05-25,9.122,5.006,2.291,6.354
2021-05-26,9.019,5.03,2.296,6.364
2021-05-27,8.915,5.053,2.301,6.373
2021-05-28,8.812,5.076,2.306,6.382
2021-05-29,8.709,5.1,2.31,6.391
2021-05-30,8.605,5.123,2.315,6.4
2021-05-31,8.502,5.146,2.32,6.409
2021-06-01,8.399,5.17,2.325,6.418
2021-06-02,8.296,5.193,2.33,6.427
2021-06-03,8.192,5.216,2.335,6.436
2021-06-04,8.089,5.24,2.339,6.445
2021-06-05,7.986,5.263,2.344,6.454
2021-06-06,7.882,5.286,2.349,6.463
2021-06-07,7.779,5.31,2.354,6.472
2021-06-08,7.676,5.333,2.359,6.481
2021-06-09,7.573,5.356,2.364,6.49
2021-06-10,7.469,5.38,2.368,6.5
2021-06-11,7.366,5.403,2.373,6.509
2021-06-12,7.263,5.426,2.378,6.518
2021-06-13,7.159,5.45,2.383,6.527
2021-06-14,7.056,5.473,2.388,6.536
2021-06-15,6.953,5.497,2.393,6.545
2021-06-16,6.849,5.52,2.397,6.554
2021-06-17,6.746,5.543,2.402,6.563
2021-06-18,6.643,5.567,2.407,6.572
2021-06-19,6.54,5.59,2.412,6.581
2021-06-20,6.436,5.613,2.417,6.59
2021-06-21,6.333,5.637,2.422,6.599
2021-06-22,6.23,5.66,2.426,6.608
2021-06-23,6.126,5.683,2.431,6.617
2021-06-24,6.023,5.707,2.436,6.627
2021-06-25,5.92,5.73,2.441,6.636
2021-06-26,5.816,5.753,2.446,6.645
2021-06-27,5.713,5.777,2.451,6.654
2021-06-28,5.61,5.8,2.455,6.663
2021-06-29,5.507,5.823,2.46,6.672
2021-06-30,5.403,5.847,2.465,6.681
2021-07-01,5.3,5.87,2.47,6.69
2021-07-02,5.305,5.85,2.491,6.709
2021-07-03,5.311,5.83,2.511,6.729
2021-07-04,5.316,5.81,2.532,6.748
2021-07-05,5.322,5.79,2.553,6.767
2021-07-06,5.327,5.77,2.573,6.787
2021-07-07,5.333,5.75,2.594,6.806
2021-07-08,5.338,5.73,2.615,6.825
2021-07-09,5.343,5.71,2.635,6.845
2021-07-10,5.349,5.69,2.656,6.864
2021-07-11,5.354,5.67,2.677,6.883
2021-07-12,5.36,5.65,2.697,6.902
2021-07-13,5.365,5.63,2.718,6.922
2021-07-14,5.371,5.61,2.738,6.941
2021-07-15,5.376,5.59,2.759,6.96
2021-07-16,5.382,5.57,2.78,6.98
2021-07-17,5.387,5.55,2.8,6.999
2021-07-18,5.392,5.53,2.821,7.018
2021-07-19,5.398,5.51,2.842,7.038
2021-07-20,5.403,5.489,2.862,7.057
2021-07-21,5.409,5.469,2.883,7.076
2021-07-22,5.414,5.449,2.904,7.096
2021-07-23,5.42,5.429,2.924,7.115
2021-07-24,5.425,5.409,2.945,7.134
2021-07-25,5.43,5.389,2.966,7.154
2021-07-26,5.436,5.369,2.986,7.173
2021-07-27,5.441,5.349,3.007,7.192
